id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
10279,Female,64,1,14.0,0,< 1 Year,No,47037.46,83.0,53
3463,Female,68,1,38.0,0,< 1 Year,No,33841.38,152.0,82
10016,Male,63,1,29.0,0,> 2 Years,No,25542.03,39.0,265
4645,Female,48,1,45.0,1,1-2 Year,No,49120.72,117.0,189
12174,Male,63,1,15.0,0,> 2 Years,Yes,39965.46,4.0,212
8836,Female,28,1,34.0,0,> 2 Years,No,24596.73,29.0,219
2019,Male,49,1,15.0,1,> 2 Years,Yes,25283.56,140.0,281
16816,Female,32,1,25.0,0,1-2 Year,No,75166.57,48.0,216
3707,Male,27,1,5.0,1,> 2 Years,No,66100.72,17.0,97
666,Male,51,1,34.0,1,1-2 Year,Yes,78262.08,117.0,95
18713,Female,34,1,12.0,1,1-2 Year,No,79904.52,47.0,172
18709,Female,56,1,10.0,0,< 1 Year,Yes,78604.56,108.0,82
17150,Female,51,1,42.0,1,1-2 Year,Yes,44640.5,146.0,291
975,Female,26,1,19.0,1,1-2 Year,No,62333.55,86.0,205
5941,Male,32,1,22.0,1,1-2 Year,Yes,51868.29,146.0,246
3428,Male,36,1,13.0,0,< 1 Year,Yes,36103.95,148.0,144
18577,Female,23,0,22.0,1,1-2 Year,Yes,24324.01,55.0,298
16712,Male,34,1,14.0,0,< 1 Year,Yes,51014.46,96.0,282
12254,Female,41,1,0.0,0,< 1 Year,Yes,56655.9,88.0,76
18240,Male,19,1,13.0,0,< 1 Year,No,78775.2,43.0,209
13712,Male,18,1,40.0,1,< 1 Year,Yes,48413.2,153.0,166
5206,Male,32,1,12.0,0,1-2 Year,Yes,44489.43,38.0,162
9623,Male,41,1,36.0,1,< 1 Year,No,55919.1,78.0,214
10231,Male,48,1,43.0,1,1-2 Year,No,48749.94,123.0,29
16660,Male,64,1,16.0,1,< 1 Year,No,46200.94,31.0,21
10549,Male,20,1,47.0,1,> 2 Years,Yes,54865.78,130.0,3
14217,Female,43,1,31.0,0,1-2 Year,Yes,24572.14,51.0,85
14063,Female,24,1,24.0,0,> 2 Years,Yes,44811.92,10.0,102
4121,Female,22,1,49.0,1,> 2 Years,No,59146.36,112.0,106
19660,Female,47,1,17.0,0,> 2 Years,No,53195.68,9.0,98
16189,Male,49,1,10.0,1,> 2 Years,Yes,55685.99,153.0,235
19484,Female,32,1,6.0,1,> 2 Years,No,43564.78,63.0,233
12264,Male,60,1,8.0,0,< 1 Year,Yes,68014.04,96.0,287
3317,Female,33,1,18.0,0,1-2 Year,No,59074.74,12.0,116
5826,Female,44,1,50.0,0,1-2 Year,No,23351.69,140.0,149
18201,Female,24,1,31.0,1,< 1 Year,Yes,51330.08,157.0,256
9692,Male,34,1,10.0,1,1-2 Year,No,52573.64,142.0,241
